plan_id,plan_date,customer_name,origin_plant,origin_state,destination,destination_state,distance_km,planned_qty_t,min_rake_tonnage,terminal_cost,expected_demurrage,priority_score,rake_available,siding_slots,inventory_t,production_forecast_t,yard_id,product_type,wagon_type,route_via,lead_time_days
PLAN_2024_0017,27/10/2025,Customer_1,Rourkela Steel Plant,Odisha,JSW Steel Dolvi,Jharkhand,825,115,272,12749,3821,0.31,0,0,4306,2301,YARD_4,Coal,BRN,Direct,10
PLAN_2024_0018,14/11/2025,Customer_33,Bokaro Steel Plant,Maharashtra,JSW Steel Dolvi,Odisha,400,470,186,9455,6339,0.71,0,0,3667,1022,YARD_6,Limestone,BTPN,Via Bilaspur,2
PLAN_2024_0019,10/11/2025,Customer_48,Bokaro Steel Plant,Maharashtra,Essar Steel Hazira,Chhattisgarh,249,184,290,14459,6513,0.25,0,0,7495,4208,YARD_10,Coal,BTPN,Via Tatanagar,3
PLAN_2024_0020,18/10/2025,Customer_45,Rourkela Steel Plant,Maharashtra,JSW Steel Dolvi,Andhra Pradesh,1098,317,216,17441,5707,0.24,1,4,3359,1391,YARD_7,Limestone,BTPN,Direct,10
PLAN_2024_0021,28/10/2025,Customer_7,Durgapur Steel Plant,Gujarat,SAIL Burnpur,West Bengal,653,309,203,10879,5135,0.94,0,0,3334,3541,YARD_1,Coal,BCN,Via Tatanagar,7
PLAN_2024_0022,27/10/2025,Customer_49,Durgapur Steel Plant,Odisha,Essar Steel Hazira,Andhra Pradesh,884,295,129,10781,2211,0.13,0,0,2160,1820,YARD_3,Limestone,BRN,Via Bilaspur,10
PLAN_2024_0023,06/11/2025,Customer_34,Rourkela Steel Plant,Odisha,SAIL Burnpur,Andhra Pradesh,1389,432,261,19564,4078,0.81,0,0,6147,4035,YARD_8,Limestone,BRN,Via Tatanagar,9
PLAN_2024_0024,10/11/2025,Customer_27,Bhilai Steel Plant,Gujarat,JSW Steel Dolvi,Odisha,1073,221,141,10320,4020,0.92,0,0,8405,3054,YARD_3,Finished Steel,BTPN,Via Nagpur,6
PLAN_2024_0025,31/10/2025,Customer_1,Bhilai Steel Plant,Odisha,SAIL Burnpur,Gujarat,275,460,260,6672,5228,0.75,1,2,5434,3580,YARD_2,Limestone,BRN,Via Tatanagar,5
PLAN_2024_0026,04/11/2025,Customer_45,Bhilai Steel Plant,Jharkhand,Essar Steel Hazira,Chhattisgarh,526,271,205,8404,7927,0.3,1,4,3427,2313,YARD_1,Limestone,BRN,Via Bilaspur,5
PLAN_2024_0027,08/11/2025,Customer_37,Bokaro Steel Plant,Jharkhand,Jindal Steel Raigarh,Andhra Pradesh,513,316,146,11407,3545,0.88,1,5,4346,4588,YARD_1,Limestone,BRN,Via Tatanagar,6
PLAN_2024_0028,31/10/2025,Customer_16,Bhilai Steel Plant,Gujarat,Jindal Steel Raigarh,Maharashtra,322,372,276,15684,6068,0.24,1,3,1453,3068,YARD_3,Coal,BTPN,Via Tatanagar,3
PLAN_2024_0029,20/10/2025,Customer_11,Durgapur Steel Plant,Chhattisgarh,RINL Visakhapatnam,Gujarat,1261,411,190,5000,6510,0.17,1,3,9979,2732,YARD_7,Finished Steel,BOXN,Via Tatanagar,8
PLAN_2024_0030,21/10/2025,Customer_26,Bokaro Steel Plant,Jharkhand,Jindal Steel Raigarh,Andhra Pradesh,236,414,136,11877,3372,0.59,0,0,3397,4711,YARD_2,Iron Ore,BRN,Via Nagpur,9
PLAN_2024_0031,23/10/2025,Customer_25,Bhilai Steel Plant,Gujarat,Essar Steel Hazira,Andhra Pradesh,1468,360,292,7196,3907,0.12,0,0,5008,4501,YARD_4,Finished Steel,BTPN,Via Tatanagar,10
PLAN_2024_0032,04/11/2025,Customer_23,Rourkela Steel Plant,Odisha,Jindal Steel Raigarh,Gujarat,1497,381,117,5590,1816,0.77,0,0,3586,3102,YARD_1,Limestone,BOXN,Via Bilaspur,8
PLAN_2024_0033,08/11/2025,Customer_22,Bokaro Steel Plant,West Bengal,Essar Steel Hazira,Gujarat,265,347,244,7452,2272,0.8,0,0,9936,740,YARD_2,Coal,BRN,Direct,5
PLAN_2024_0034,21/10/2025,Customer_26,Bhilai Steel Plant,Maharashtra,Essar Steel Hazira,Jharkhand,752,149,202,17264,6389,0.51,0,0,5631,1231,YARD_6,Coal,BTPN,Via Tatanagar,8
PLAN_2024_0035,21/10/2025,Customer_11,Bokaro Steel Plant,Chhattisgarh,JSW Steel Dolvi,Odisha,439,67,166,8905,6088,0.87,1,3,8766,3356,YARD_6,Limestone,BRN,Via Nagpur,3
PLAN_2024_0036,07/11/2025,Customer_49,Durgapur Steel Plant,Jharkhand,Bhushan Steel Meramandali,Chhattisgarh,717,127,276,15828,3610,0.84,0,0,1807,3494,YARD_5,Finished Steel,BTPN,Via Bilaspur,7
PLAN_2024_0037,12/11/2025,Customer_49,Rourkela Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,Jharkhand,915,279,120,17658,1031,1.0,1,4,5374,3935,YARD_3,Limestone,BOXN,Direct,6
PLAN_2024_0038,20/10/2025,Customer_16,Bokaro Steel Plant,Maharashtra,Jindal Steel Raigarh,Chhattisgarh,1138,262,164,11749,1769,0.48,0,0,6606,2714,YARD_1,Limestone,BTPN,Direct,6
PLAN_2024_0039,24/10/2025,Customer_50,Rourkela Steel Plant,Chhattisgarh,Tata Steel Jamshedpur,West Bengal,1308,408,175,8204,1832,0.34,1,3,1775,2086,YARD_6,Limestone,BRN,Direct,10
PLAN_2024_0040,02/11/2025,Customer_32,Bhilai Steel Plant,West Bengal,Jindal Steel Raigarh,Odisha,671,177,297,7412,5962,0.85,0,0,1836,2178,YARD_5,Limestone,BTPN,Via Tatanagar,2
PLAN_2024_0041,14/11/2025,Customer_3,Bokaro Steel Plant,Jharkhand,RINL Visakhapatnam,Gujarat,1155,322,153,17401,4017,0.34,0,0,3113,2437,YARD_3,Iron Ore,BOXN,Direct,2
PLAN_2024_0042,07/11/2025,Customer_24,Bhilai Steel Plant,West Bengal,SAIL Burnpur,Maharashtra,470,443,256,9940,5315,0.86,1,1,3304,4925,YARD_6,Coal,BTPN,Via Nagpur,3
PLAN_2024_0043,05/11/2025,Customer_5,Bokaro Steel Plant,Chhattisgarh,Jindal Steel Raigarh,Odisha,1293,237,150,18527,4938,0.16,0,0,5950,4628,YARD_5,Iron Ore,BCN,Via Bilaspur,6
PLAN_2024_0044,13/11/2025,Customer_1,Bokaro Steel Plant,Maharashtra,Essar Steel Hazira,Jharkhand,1286,379,193,9770,6012,0.48,0,0,4642,1625,YARD_2,Limestone,BRN,Via Bilaspur,10
PLAN_2024_0045,08/11/2025,Customer_22,Durgapur Steel Plant,Odisha,Bhushan Steel Meramandali,Andhra Pradesh,1469,405,153,15407,2079,0.32,0,0,6266,4544,YARD_8,Iron Ore,BRN,Via Nagpur,9
PLAN_2024_0046,13/11/2025,Customer_20,Rourkela Steel Plant,Andhra Pradesh,SAIL Burnpur,Maharashtra,813,160,140,13197,6052,0.72,1,5,5351,1206,YARD_5,Coal,BCN,Via Tatanagar,10
PLAN_2024_0047,18/10/2025,Customer_20,Bokaro Steel Plant,Odisha,JSW Steel Dolvi,West Bengal,523,405,115,12336,1130,0.41,0,0,3523,2823,YARD_1,Coal,BCN,Via Tatanagar,5
PLAN_2024_0048,06/11/2025,Customer_24,Bokaro Steel Plant,Maharashtra,SAIL Burnpur,Odisha,895,341,284,5824,3999,0.39,0,0,7098,1737,YARD_1,Limestone,BOXN,Via Nagpur,2
PLAN_2024_0049,21/10/2025,Customer_35,Rourkela Steel Plant,Maharashtra,Bhushan Steel Meramandali,Jharkhand,1223,362,107,19197,2153,0.23,1,3,1508,2055,YARD_5,Coal,BRN,Via Nagpur,5
PLAN_2024_0050,17/10/2025,Customer_21,Bhilai Steel Plant,Jharkhand,RINL Visakhapatnam,Chhattisgarh,590,425,179,6158,1031,0.11,1,2,2824,4213,YARD_8,Iron Ore,BTPN,Via Nagpur,3
PLAN_2024_0051,06/11/2025,Customer_16,Bokaro Steel Plant,West Bengal,Bhushan Steel Meramandali,Gujarat,714,269,201,12480,1743,0.6,0,0,7807,1547,YARD_1,Limestone,BTPN,Via Nagpur,6
PLAN_2024_0052,06/11/2025,Customer_5,Bokaro Steel Plant,Odisha,RINL Visakhapatnam,Maharashtra,1059,365,216,6138,5908,0.97,1,3,7630,4024,YARD_4,Limestone,BCN,Direct,8
PLAN_2024_0053,08/11/2025,Customer_30,Durgapur Steel Plant,West Bengal,Tata Steel Jamshedpur,Chhattisgarh,837,175,239,7061,1893,0.94,1,1,7616,869,YARD_3,Limestone,BOXN,Via Nagpur,10
PLAN_2024_0054,20/10/2025,Customer_27,Durgapur Steel Plant,Odisha,SAIL Burnpur,West Bengal,916,439,152,10517,6733,0.52,1,4,6336,3588,YARD_6,Iron Ore,BRN,Via Tatanagar,10
PLAN_2024_0055,16/10/2025,Customer_46,Bhilai Steel Plant,Maharashtra,SAIL Burnpur,Odisha,776,293,225,6818,3818,0.22,1,4,7433,3806,YARD_10,Limestone,BTPN,Via Nagpur,4
PLAN_2024_0056,22/10/2025,Customer_1,Bokaro Steel Plant,Odisha,RINL Visakhapatnam,Andhra Pradesh,1159,238,294,8277,5379,0.32,1,2,6479,3474,YARD_10,Iron Ore,BOXN,Direct,5
PLAN_2024_0057,05/11/2025,Customer_21,Bhilai Steel Plant,Gujarat,RINL Visakhapatnam,Andhra Pradesh,471,245,203,10333,4128,0.76,0,0,1058,677,YARD_7,Finished Steel,BTPN,Via Nagpur,8
PLAN_2024_0058,01/11/2025,Customer_12,Durgapur Steel Plant,West Bengal,Essar Steel Hazira,Odisha,1129,80,118,16863,3609,0.46,0,0,6534,650,YARD_2,Iron Ore,BCN,Via Tatanagar,9
PLAN_2024_0059,06/11/2025,Customer_47,Bhilai Steel Plant,Odisha,Essar Steel Hazira,Andhra Pradesh,405,334,114,15184,4791,0.23,1,4,5685,4374,YARD_3,Iron Ore,BOXN,Direct,10
PLAN_2024_0060,20/10/2025,Customer_49,Durgapur Steel Plant,Odisha,Essar Steel Hazira,West Bengal,1225,121,266,12905,4077,0.46,0,0,7994,3406,YARD_1,Limestone,BOXN,Direct,2
PLAN_2024_0061,01/11/2025,Customer_10,Rourkela Steel Plant,Maharashtra,JSW Steel Dolvi,Odisha,1304,94,243,10692,2714,0.55,1,4,1552,4374,YARD_8,Limestone,BRN,Via Tatanagar,3
PLAN_2024_0062,21/10/2025,Customer_39,Bhilai Steel Plant,Chhattisgarh,Essar Steel Hazira,Andhra Pradesh,972,474,256,9031,7480,0.92,1,3,7275,4743,YARD_4,Finished Steel,BTPN,Via Bilaspur,3
PLAN_2024_0063,13/11/2025,Customer_18,Rourkela Steel Plant,Jharkhand,JSW Steel Dolvi,Chhattisgarh,723,158,103,10592,7517,0.19,0,0,9190,731,YARD_9,Coal,BTPN,Via Bilaspur,7
PLAN_2024_0064,23/10/2025,Customer_2,Durgapur Steel Plant,Maharashtra,Tata Steel Jamshedpur,Gujarat,1069,432,139,7284,4812,0.45,0,0,9344,4805,YARD_2,Iron Ore,BTPN,Via Bilaspur,10
PLAN_2024_0065,18/10/2025,Customer_38,Rourkela Steel Plant,West Bengal,JSW Steel Dolvi,Odisha,878,61,148,6288,1997,0.29,1,3,4004,2337,YARD_2,Finished Steel,BRN,Via Tatanagar,8
PLAN_2024_0066,27/10/2025,Customer_21,Rourkela Steel Plant,Jharkhand,Bhushan Steel Meramandali,Maharashtra,369,368,220,10520,1600,0.44,1,1,4789,2318,YARD_7,Iron Ore,BTPN,Via Tatanagar,7
PLAN_2024_0067,04/11/2025,Customer_12,Durgapur Steel Plant,Gujarat,RINL Visakhapatnam,West Bengal,928,262,123,15916,6093,0.95,1,2,3947,3215,YARD_6,Finished Steel,BCN,Via Bilaspur,4
PLAN_2024_0068,13/11/2025,Customer_6,Bokaro Steel Plant,Gujarat,Jindal Steel Raigarh,West Bengal,861,465,177,6606,1852,0.63,0,0,7734,796,YARD_10,Coal,BOXN,Via Tatanagar,8
PLAN_2024_0069,02/11/2025,Customer_7,Bokaro Steel Plant,Maharashtra,JSW Steel Dolvi,Odisha,234,277,238,9790,3445,0.11,1,1,5775,3298,YARD_6,Coal,BTPN,Via Tatanagar,4
PLAN_2024_0070,14/11/2025,Customer_13,Bokaro Steel Plant,Odisha,Bhushan Steel Meramandali,Chhattisgarh,729,257,122,18477,5970,1.0,0,0,4584,1526,YARD_4,Coal,BTPN,Via Tatanagar,3
PLAN_2024_0071,23/10/2025,Customer_6,Durgapur Steel Plant,Chhattisgarh,JSW Steel Dolvi,West Bengal,339,233,130,12604,3421,0.5,1,1,9481,3399,YARD_7,Coal,BCN,Via Bilaspur,8
PLAN_2024_0072,03/11/2025,Customer_2,Durgapur Steel Plant,Jharkhand,Bhushan Steel Meramandali,Andhra Pradesh,1087,282,138,13518,2600,0.98,1,3,2133,2339,YARD_10,Coal,BCN,Direct,7
PLAN_2024_0073,22/10/2025,Customer_18,Durgapur Steel Plant,Maharashtra,SAIL Burnpur,West Bengal,841,77,246,13046,4412,0.55,1,5,1873,1492,YARD_9,Limestone,BRN,Via Nagpur,9
PLAN_2024_0074,10/11/2025,Customer_14,Bhilai Steel Plant,Gujarat,Essar Steel Hazira,West Bengal,637,430,121,5948,5088,0.31,0,0,4511,2973,YARD_7,Coal,BOXN,Via Bilaspur,9
PLAN_2024_0075,29/10/2025,Customer_39,Bokaro Steel Plant,Gujarat,Jindal Steel Raigarh,West Bengal,662,236,232,18913,7090,0.21,0,0,6857,2797,YARD_7,Coal,BCN,Via Nagpur,5
PLAN_2024_0076,17/10/2025,Customer_8,Bokaro Steel Plant,West Bengal,Bhushan Steel Meramandali,Chhattisgarh,1105,461,211,7412,4482,0.9,1,3,7816,4340,YARD_1,Finished Steel,BOXN,Via Bilaspur,7
PLAN_2024_0077,26/10/2025,Customer_24,Durgapur Steel Plant,Chhattisgarh,Essar Steel Hazira,Maharashtra,907,390,280,8466,4659,0.44,0,0,2444,781,YARD_4,Finished Steel,BOXN,Direct,10
PLAN_2024_0078,04/11/2025,Customer_22,Durgapur Steel Plant,Maharashtra,Bhushan Steel Meramandali,Gujarat,1141,473,287,7166,7745,0.88,0,0,3066,4540,YARD_7,Coal,BOXN,Direct,5
PLAN_2024_0079,30/10/2025,Customer_28,Bokaro Steel Plant,Maharashtra,Bhushan Steel Meramandali,West Bengal,241,284,258,14214,2355,0.86,1,1,8107,4960,YARD_10,Iron Ore,BCN,Via Nagpur,7
PLAN_2024_0080,21/10/2025,Customer_14,Durgapur Steel Plant,Gujarat,RINL Visakhapatnam,Chhattisgarh,1274,359,289,13798,4788,0.56,0,0,8891,860,YARD_10,Iron Ore,BRN,Direct,10
PLAN_2024_0081,08/11/2025,Customer_14,Durgapur Steel Plant,Maharashtra,Essar Steel Hazira,West Bengal,984,363,137,18618,5451,0.91,1,2,1662,4195,YARD_9,Limestone,BOXN,Direct,3
PLAN_2024_0082,30/10/2025,Customer_25,Rourkela Steel Plant,Maharashtra,RINL Visakhapatnam,Andhra Pradesh,422,330,299,17563,3479,0.48,0,0,1703,4126,YARD_9,Iron Ore,BTPN,Via Nagpur,6
PLAN_2024_0083,07/11/2025,Customer_30,Bokaro Steel Plant,Jharkhand,Jindal Steel Raigarh,West Bengal,414,463,271,6043,3652,0.51,1,1,9084,2629,YARD_1,Iron Ore,BRN,Via Tatanagar,10
PLAN_2024_0084,01/11/2025,Customer_49,Bokaro Steel Plant,Jharkhand,RINL Visakhapatnam,Gujarat,336,475,103,13963,4865,0.15,0,0,9879,2859,YARD_9,Coal,BCN,Via Tatanagar,6
PLAN_2024_0085,27/10/2025,Customer_49,Bhilai Steel Plant,West Bengal,RINL Visakhapatnam,Gujarat,307,167,167,18711,3921,0.32,1,1,1199,608,YARD_1,Coal,BTPN,Via Tatanagar,9
PLAN_2024_0086,22/10/2025,Customer_40,Bhilai Steel Plant,Andhra Pradesh,Tata Steel Jamshedpur,Jharkhand,990,289,192,9310,2325,0.19,1,2,2780,4785,YARD_8,Limestone,BOXN,Via Tatanagar,5
PLAN_2024_0087,16/10/2025,Customer_27,Bokaro Steel Plant,Jharkhand,JSW Steel Dolvi,Odisha,236,161,210,19179,4779,0.49,0,0,6518,2849,YARD_8,Coal,BOXN,Via Bilaspur,9
PLAN_2024_0088,05/11/2025,Customer_39,Durgapur Steel Plant,Jharkhand,Bhushan Steel Meramandali,Maharashtra,700,340,295,13525,5808,0.2,1,2,4720,1228,YARD_3,Limestone,BOXN,Direct,5
PLAN_2024_0089,20/10/2025,Customer_18,Bhilai Steel Plant,West Bengal,Essar Steel Hazira,Odisha,1128,336,191,17579,5587,0.31,1,1,5403,2674,YARD_6,Iron Ore,BTPN,Via Bilaspur,5
PLAN_2024_0090,09/11/2025,Customer_2,Rourkela Steel Plant,Maharashtra,SAIL Burnpur,West Bengal,1167,445,245,10784,3925,0.67,0,0,4513,4643,YARD_5,Iron Ore,BRN,Via Nagpur,10
PLAN_2024_0091,10/11/2025,Customer_22,Bokaro Steel Plant,Jharkhand,SAIL Burnpur,Gujarat,1154,54,194,7440,4401,0.56,0,0,9226,1016,YARD_6,Iron Ore,BCN,Direct,3
PLAN_2024_0092,31/10/2025,Customer_35,Rourkela Steel Plant,Jharkhand,Tata Steel Jamshedpur,Gujarat,792,400,283,14369,5506,0.61,1,4,2340,1953,YARD_5,Finished Steel,BCN,Via Nagpur,8
PLAN_2024_0093,17/10/2025,Customer_38,Durgapur Steel Plant,Odisha,Bhushan Steel Meramandali,West Bengal,1485,110,264,9587,1188,0.14,0,0,7595,4240,YARD_4,Coal,BRN,Via Tatanagar,3
PLAN_2024_0094,25/10/2025,Customer_12,Bhilai Steel Plant,Odisha,Jindal Steel Raigarh,Andhra Pradesh,1335,409,235,13078,3813,0.12,1,3,1549,3216,YARD_2,Coal,BTPN,Via Nagpur,5
PLAN_2024_0095,07/11/2025,Customer_35,Durgapur Steel Plant,Odisha,Tata Steel Jamshedpur,West Bengal,835,177,171,6821,5945,0.39,1,1,6835,4681,YARD_7,Limestone,BCN,Direct,3
PLAN_2024_0096,07/11/2025,Customer_23,Rourkela Steel Plant,West Bengal,JSW Steel Dolvi,Andhra Pradesh,1426,241,188,9841,6781,0.16,1,2,1212,2107,YARD_1,Iron Ore,BRN,Via Tatanagar,8
PLAN_2024_0097,14/11/2025,Customer_23,Rourkela Steel Plant,Maharashtra,RINL Visakhapatnam,Andhra Pradesh,905,293,134,14175,3586,0.71,0,0,7617,1648,YARD_2,Finished Steel,BRN,Direct,2
PLAN_2024_0098,27/10/2025,Customer_37,Rourkela Steel Plant,Gujarat,RINL Visakhapatnam,Chhattisgarh,1050,401,166,5400,5376,0.66,1,3,1025,2229,YARD_8,Finished Steel,BOXN,Via Nagpur,6
PLAN_2024_0099,31/10/2025,Customer_8,Rourkela Steel Plant,Andhra Pradesh,Essar Steel Hazira,Gujarat,1336,386,280,7408,7161,0.12,0,0,1463,2379,YARD_5,Limestone,BTPN,Via Bilaspur,8
PLAN_2024_0100,27/10/2025,Customer_36,Bokaro Steel Plant,West Bengal,JSW Steel Dolvi,Jharkhand,925,323,147,12363,7544,0.81,0,0,2330,2582,YARD_4,Coal,BRN,Direct,7
PLAN_2024_0101,06/11/2025,Customer_50,Durgapur Steel Plant,Odisha,RINL Visakhapatnam,Chhattisgarh,330,374,157,5241,7982,0.77,1,5,8391,2995,YARD_10,Coal,BRN,Via Tatanagar,2
PLAN_2024_0102,21/10/2025,Customer_7,Bokaro Steel Plant,Jharkhand,SAIL Burnpur,Odisha,1475,293,255,11347,1235,0.53,1,4,7519,638,YARD_7,Iron Ore,BOXN,Via Nagpur,3
PLAN_2024_0103,03/11/2025,Customer_48,Rourkela Steel Plant,Andhra Pradesh,SAIL Burnpur,Gujarat,338,254,290,17470,1953,0.39,1,2,3874,919,YARD_7,Limestone,BTPN,Via Tatanagar,7
PLAN_2024_0104,22/10/2025,Customer_25,Rourkela Steel Plant,Odisha,Tata Steel Jamshedpur,Jharkhand,796,261,211,8629,6913,0.57,0,0,1964,4023,YARD_10,Limestone,BRN,Direct,2
PLAN_2024_0105,10/11/2025,Customer_11,Bokaro Steel Plant,Jharkhand,Jindal Steel Raigarh,Odisha,455,99,288,19045,4997,0.15,1,4,4925,3888,YARD_2,Finished Steel,BTPN,Via Nagpur,3
PLAN_2024_0106,18/10/2025,Customer_34,Durgapur Steel Plant,Chhattisgarh,SAIL Burnpur,Gujarat,1301,271,249,18596,3678,0.23,1,5,7965,2580,YARD_3,Finished Steel,BTPN,Direct,5
PLAN_2024_0107,25/10/2025,Customer_48,Rourkela Steel Plant,West Bengal,RINL Visakhapatnam,Chhattisgarh,972,257,233,14366,3883,0.91,0,0,8501,3554,YARD_4,Finished Steel,BCN,Via Bilaspur,6
PLAN_2024_0108,19/10/2025,Customer_25,Bhilai Steel Plant,Maharashtra,JSW Steel Dolvi,Gujarat,506,432,267,10790,7760,0.18,0,0,8144,1209,YARD_5,Coal,BOXN,Direct,5
PLAN_2024_0109,19/10/2025,Customer_28,Durgapur Steel Plant,Chhattisgarh,SAIL Burnpur,Odisha,1459,202,113,15097,7299,0.89,1,1,9571,2475,YARD_10,Coal,BOXN,Via Bilaspur,9
PLAN_2024_0110,18/10/2025,Customer_28,Bokaro Steel Plant,Chhattisgarh,Essar Steel Hazira,Odisha,659,263,216,11480,6938,0.61,0,0,2402,1696,YARD_2,Iron Ore,BOXN,Via Bilaspur,4
PLAN_2024_0111,02/11/2025,Customer_25,Durgapur Steel Plant,Chhattisgarh,SAIL Burnpur,Odisha,913,211,286,5437,4917,0.5,1,5,4711,4444,YARD_8,Finished Steel,BTPN,Via Tatanagar,3
PLAN_2024_0112,20/10/2025,Customer_39,Bokaro Steel Plant,Gujarat,RINL Visakhapatnam,Andhra Pradesh,552,230,242,12369,5474,0.81,1,4,7954,3943,YARD_4,Coal,BCN,Via Bilaspur,10
PLAN_2024_0113,20/10/2025,Customer_6,Bhilai Steel Plant,West Bengal,SAIL Burnpur,Jharkhand,672,299,287,17101,6511,0.12,0,0,7496,4737,YARD_9,Limestone,BOXN,Via Nagpur,8
PLAN_2024_0114,21/10/2025,Customer_26,Bokaro Steel Plant,Maharashtra,Jindal Steel Raigarh,Gujarat,1119,192,234,15444,5439,0.84,0,0,1561,2042,YARD_8,Limestone,BTPN,Via Nagpur,7
PLAN_2024_0115,31/10/2025,Customer_42,Durgapur Steel Plant,Andhra Pradesh,RINL Visakhapatnam,Jharkhand,1387,483,268,14921,5591,0.47,0,0,4567,775,YARD_6,Limestone,BOXN,Via Tatanagar,7
PLAN_2024_0116,31/10/2025,Customer_39,Rourkela Steel Plant,Jharkhand,Tata Steel Jamshedpur,West Bengal,507,453,127,12672,4193,0.35,1,3,3481,4341,YARD_1,Iron Ore,BRN,Via Tatanagar,6
PLAN_2024_0117,28/10/2025,Customer_46,Bhilai Steel Plant,Gujarat,Essar Steel Hazira,Maharashtra,884,294,293,15889,6251,0.89,1,3,6133,4860,YARD_4,Coal,BOXN,Via Bilaspur,7
PLAN_2024_0118,05/11/2025,Customer_9,Bhilai Steel Plant,Maharashtra,Jindal Steel Raigarh,Chhattisgarh,1320,486,192,10483,6928,0.5,1,3,5689,1209,YARD_2,Limestone,BOXN,Via Tatanagar,9
PLAN_2024_0119,23/10/2025,Customer_47,Bokaro Steel Plant,Odisha,JSW Steel Dolvi,Gujarat,1174,116,167,8792,2959,0.13,0,0,5219,3974,YARD_10,Iron Ore,BCN,Direct,7
PLAN_2024_0120,17/10/2025,Customer_6,Durgapur Steel Plant,Chhattisgarh,Essar Steel Hazira,Maharashtra,313,291,283,19378,7987,0.89,1,4,5737,2120,YARD_6,Iron Ore,BCN,Via Tatanagar,4
